Shot,Mat,cGANsim,cGAN_largesim,LF_LRsim
50,3,0.202128628,0.252773287,0.216747651
50,4,0.17984592,0.136690343,0.15608912
50,5,0.145302416,0.149137937,0.156123689
50,6,0.133909084,0.243909968,0.144801013
50,7,0.149893694,0.142279248,0.149167534
50,8,0.108705537,0.141698534,0.1657426
51,1,0.181407311,0.15582871,0.159664921
51,2,0.14933801,0.094101113,0.15589553
51,3,0.183523852,0.318150431,0.244284875
51,4,0.1721862,0.173342631,0.209264196
51,5,0.180539785,0.160817283,0.181564069
51,6,0.136470151,0.294524287,0.178735353
51,7,0.169546178,0.142227991,0.168193753
51,8,0.110617707,0.140515481,0.116884086
52,1,0.178428727,0.14456771,0.193574747
52,2,0.159225731,0.082799828,0.142817617
52,3,0.215937275,0.241560397,0.239253549
52,4,0.197108183,0.172181803,0.197546574
52,5,0.127369499,0.12768163,0.129771617
52,6,0.143271016,0.226292621,0.177303875
52,7,0.145447329,0.170759718,0.181737295
52,8,0.093934108,0.117243755,0.103741543
53,1,0.176780552,0.184900296,0.18286045
53,2,0.172535712,0.126901159,0.148628043
53,3,0.22884808,0.251668365,0.233207579
53,4,0.203757259,0.16387767,0.23052141
53,5,0.129809687,0.124291167,0.140241642
53,6,0.13299433,0.180199968,0.168295891
53,7,0.194529122,0.114634102,0.1844076
53,8,0.149937748,0.151749832,0.173936083
54,1,0.197989971,0.178191424,0.204477697
54,2,0.188748663,0.167345639,0.158102239
54,3,0.191739215,0.292016975,0.248781968
54,4,0.180664491,0.192012277,0.235726604
54,5,0.096755542,0.139375199,0.160041912
54,6,0.131087066,0.222865844,0.186632423
54,7,0.161576225,0.110833571,0.152957636
54,8,0.146258258,0.149443869,0.192221466
55,1,0.176915185,0.183859435,0.243387074
55,2,0.160883492,0.117643996,0.149039095
55,3,0.180094447,0.262259373,0.216090436
55,4,0.228802866,0.199812669,0.210025282
55,5,0.114136178,0.16660481,0.177535571
55,6,0.128114958,0.196374441,0.214768348
55,7,0.164190103,0.1046309,0.127222605
55,8,0.15394451,0.146416922,0.146988154
,,,,
,,,,
,,,,
average,,0.150077545,0.164934272,0.172078152
